,molecular mass,mlogp,tpsa,HAccept,HDon,nrotate,carboxylic acid,carboxylate,ester,ether,alcohol,amide,primary amine,secondary amine,4 valenced nitrogen,tertiary amine,keton,cyanide,epoxide,sulfonyl,cyclohexane,piperidine,pyrrolidine,benzene,Methoxybenzene,methylaniline,Phenethylamine,pyridine,pyrrole,fluorine,lat1,lacc,6 atom ring,common atoms in fused 6 atom rings,opioid feature
0,325.48764,5.48890000000001,23.47,2,1,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,2,0,0
0,362.46474,3.8341,35.94,4,0,4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,3,6,12,0
0,426.55,5.3277,58.72,4,2,7,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,0,2,0,0,0,0,3,3,0,1
0,457.47638,-3.02849999999999,174.11,10,6,3,0,0,0,0,4,0,0,0,0,2,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,4,6,1
0,556.6505,-2.16669999999999,186.14,11,7,6,0,0,0,0,4,0,0,1,0,2,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,4,6,1
0,347.38888,-0.807099999999998,122.21,7,4,5,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0,383.4625,-1.9727,119.66,8,3,6,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
0,420.50426,-1.7238,174.7,10,6,7,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
0,350.39282,-3.84859999999999,106.54,8,1,4,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,333.3574032,-0.657599999999997,70.41,7,1,3,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,3,2,2
0,320.3188832,-1.88529999999999,91.23,8,2,3,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0
0,392.3997864,-1.1951,105.22,9,4,3,1,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,1,0,3,0,0,0,2,0,2,3,2,2
0,361.3675032,-1.2803,79.64,8,1,2,1,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,4,5,2
0,331.3415232,-0.857299999999998,79.2,7,2,3,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,1,0,2,0,0,0,1,0,2,3,2,2
0,319.3308232,-0.999799999999997,79.2,7,2,3,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,3,2,2
0,1155.43392,-8.1217,525.42,29,23,32,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
0,238.15704,-2.424,120.69,9,1,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
